Date,Open,Close
2019-02-06,1670.75,1640.26001
2019-02-07,1625.0,1614.369995
2019-02-08,1586.0,1588.219971
2019-02-11,1600.97998,1591.0
2019-02-12,1604.0,1638.01001
2019-02-13,1647.0,1640.0
2019-02-14,1624.5,1622.650024
2019-02-15,1627.859985,1607.949951
2019-02-19,1601.0,1627.579956
2019-02-20,1630.0,1622.099976
2019-02-21,1619.849976,1619.439941
2019-02-22,1623.5,1631.560059
2019-02-25,1641.449951,1633.0
2019-02-26,1625.97998,1636.400024
2019-02-27,1628.180054,1641.089966
2019-02-28,1635.25,1639.829956
2019-03-01,1655.130005,1671.72998
2019-03-04,1685.0,1696.1700440000002
2019-03-05,1702.949951,1692.430054
2019-03-06,1695.969971,1668.949951
2019-03-07,1667.369995,1625.949951
2019-03-08,1604.01001,1620.800049
2019-03-11,1626.119995,1670.619995
2019-03-12,1669.0,1673.099976
2019-03-13,1683.0,1690.810059
2019-03-14,1691.199951,1686.219971
2019-03-15,1703.0,1712.359985
2019-03-18,1712.699951,1742.1500239999998
2019-03-19,1753.5100100000002,1761.8499760000002
2019-03-20,1769.939941,1797.27002
2019-03-21,1796.2600100000002,1819.2600100000002
2019-03-22,1810.1700440000002,1764.77002
2019-03-25,1757.790039,1774.2600100000002
2019-03-26,1793.0,1783.7600100000002
2019-03-27,1784.130005,1765.699951
2019-03-28,1770.0,1773.4200440000002
2019-03-29,1786.5799559999998,1780.75
2019-04-01,1800.109985,1814.189941
2019-04-02,1811.02002,1813.97998
2019-04-03,1826.719971,1820.699951
2019-04-04,1820.6500239999998,1818.859985
2019-04-05,1829.0,1837.280029
2019-04-08,1833.22998,1849.859985
2019-04-09,1845.4899899999998,1835.839966
2019-04-10,1841.0,1847.3299559999998
2019-04-11,1848.699951,1844.069946
2019-04-12,1848.4000239999998,1843.060059
2019-04-15,1842.0,1844.869995
2019-04-16,1851.3499760000002,1863.040039
2019-04-17,1872.9899899999998,1864.819946
2019-04-18,1868.790039,1861.689941
2019-04-22,1855.4000239999998,1887.310059
2019-04-23,1891.199951,1923.77002
2019-04-24,1925.0,1901.75
2019-04-25,1917.0,1902.25
2019-04-26,1929.0,1950.630005
2019-04-29,1949.0,1938.430054
2019-04-30,1930.0999760000002,1926.52002
2019-05-01,1933.089966,1911.52002
2019-05-02,1913.3299559999998,1900.819946
2019-05-03,1949.0,1962.459961
2019-05-06,1917.97998,1950.550049
2019-05-07,1939.9899899999998,1921.0
2019-05-08,1918.869995,1917.77002
2019-05-09,1900.0,1899.869995
2019-05-10,1898.0,1889.97998
2019-05-13,1836.560059,1822.680054
2019-05-14,1839.5,1840.119995
2019-05-15,1827.949951,1871.1500239999998
2019-05-16,1885.939941,1907.569946
2019-05-17,1893.050049,1869.0
2019-05-20,1852.689941,1858.969971
2019-05-21,1874.790039,1857.52002
2019-05-22,1851.780029,1859.680054
2019-05-23,1836.589966,1815.47998
2019-05-24,1835.890015,1823.280029
2019-05-28,1832.75,1836.430054
2019-05-29,1823.119995,1819.189941
2019-05-30,1825.4899899999998,1816.319946
2019-05-31,1790.0100100000002,1775.069946
2019-06-03,1760.0100100000002,1692.689941
2019-06-04,1699.2399899999998,1729.560059
2019-06-05,1749.5999760000002,1738.5
2019-06-06,1737.709961,1754.359985
